label,data,rok_caly,Wrocław,Gdańsk,Kraków,Łódź,Śląsk,Warszawa
2010,01/01/2010,2010,9.5192728,,,4.8658267,11.4209164,
'11,01/01/2011,2011,4.6703157,,5.0540324,2.8273958,8.8641604,
'12,01/01/2012,2012,4.4678862,2.9201371,5.7575264,6.9657314,12.9388789,
'13,01/01/2013,2013,4.6613492,2.6928107,6.2507616,7.4965991,13.8475311,
'14,01/01/2014,2014,7.6664321,2.5632561,6.1202009,6.6344986,13.0438352,
'15,01/01/2015,2015,5.6619656,1.3904022,5.2299531,4.6439549,10.1467815,
'16,01/01/2016,2016,5.5557737,1.8743965,4.3208191,2.3764077,9.5824002,
'17,01/01/2017,2017,6.7188667,3.2410448,5.2996112,3.3768257,9.0329584,0.0771007
'18,01/01/2018,2018,6.5969567,3.5583486,5.5906933,2.6881205,12.4562368,0.0757667
'19,01/01/2019,2019,8.625543,2.2572206,3.8554485,2.0465413,11.0520441,0.1849374
'20,01/01/2020,2020,8.0964714,1.721389,2.549163,1.3181128,7.4395661,0.3249736
'21,01/01/2021,2021,8.5831202,1.2940401,1.7006792,1.4540528,10.8233943,0.3854566
2022,01/01/2022,2022,2.1144625,2.4355325,2.4394209,1.1725753,7.1234618,0.3511555
